rank,player,ability,n_singles,n_doubles,n_tot
1,Cirillo Pisaroni,104.13990783691406,8,1,9
2,Giuseppe Cavalcanti,103.85990142822266,0,4,4
3,Dionigi Vecellio,103.74099731445312,9,0,9
4,Carlo Peano,103.68457794189453,8,0,8
5,Gianluigi Caccianemico,103.67440032958984,4,0,4
6,Calogero Battelli,102.89453887939453,3,1,4
7,Enzo Stoppani,102.81439208984375,11,2,13
8,Giacobbe Prodi,102.71051025390625,8,2,10
9,Livio Nitto,102.62808227539062,10,0,10
10,Gioacchino Flaiano,102.5539779663086,1,2,3
11,Piermaria Rossetti,102.50872039794922,3,5,8
12,Leopoldo Cheda,102.49243927001953,12,1,13
13,Sebastiano Alfieri,102.42790985107422,0,13,13
14,Silvestro Tafuri,102.35906982421875,10,0,10
15,Enrico Gualandi,102.315673828125,2,0,2
16,Gianni Guarana,102.300048828125,9,0,9
17,Donato Cattaneo,102.29368591308594,1,13,14
18,Ivan Ginesio,102.28619384765625,1,3,4
19,Angelo Faugno,102.28516387939453,5,1,6
20,Ottone Basadonna,102.26969909667969,1,0,1
21,Adriano Spinelli,102.26053619384766,1,9,10
22,Elladio Merisi,102.20761108398438,0,3,3
23,Adamo Granatelli,102.2044448852539,1,7,8
24,Giosuè Rastelli,102.16864013671875,4,5,9
25,Piergiuseppe Verga,102.00313568115234,0,6,6
26,Atenulf Solimena,101.99480438232422,0,12,12
27,Michelotto Morricone,101.88944244384766,0,8,8
28,Manuel Cannizzaro,101.8801498413086,6,2,8
29,Adelmo Vespucci,101.87110137939453,6,6,12
30,Aldo Balbi,101.83321380615234,4,1,5
31,Napoleone Scarfoglio,101.79241943359375,3,0,3
32,Ciro Bandello,101.71920013427734,3,2,5
33,Ettore Vanvitelli,101.71380615234375,8,5,13
34,Gabriele Fantoni,101.67469024658203,10,2,12
35,Temistocle Pugliese,101.66987609863281,0,10,10
36,Delfino Mozart,101.58602905273438,0,7,7
37,Giacinto Orengo,101.57865142822266,0,10,10
38,Nico Pertini,101.57599639892578,4,0,4
39,Ignazio Bignami,101.43132781982422,0,3,3
40,Rolando Troisi,101.31169891357422,6,2,8
41,Ippazio Milanesi,101.27916717529297,10,3,13
42,Guglielmo Alighieri,101.2425537109375,1,0,1
43,Salvatore Malaparte,101.23584747314453,0,2,2
44,Mattia Sgarbi,101.21437072753906,1,0,1
45,Annibale Abate,101.21239471435547,0,1,1
46,Gaetano Foà,101.17120361328125,4,0,4
47,Camillo Palazzo,101.16706848144531,2,3,5
48,Carmelo Finetti,101.15780639648438,0,1,1
49,Alberico Giammusso,101.13383483886719,5,4,9
50,Pomponio Fibonacci,101.06951141357422,0,2,2
51,Massimiliano Mercantini,101.05760955810547,8,0,8
52,Lorenzo Bellomo,101.03225708007812,6,8,14
53,Vittorio Giannuzzi,101.02519989013672,5,2,7
54,Roberto Tarantini,100.94203186035156,1,1,2
55,Daniele Interiano,100.93302154541016,5,1,6
56,Amadeo Goldoni,100.92750549316406,0,1,1
57,Simone Carriera,100.9063949584961,0,3,3
58,Arsenio Tremonti,100.88090515136719,3,0,3
59,Matteo Pardi,100.8706283569336,6,9,15
60,Alfredo Visintini,100.84416961669922,3,1,4
61,Ricciotti Bragadin,100.80477142333984,3,3,6
62,Franco Tirabassi,100.77877807617188,3,3,6
63,Donatello Luciani,100.76648712158203,9,4,13
64,Gioffre Farina,100.75778198242188,2,10,12
65,Gianluca Bombieri,100.75273132324219,0,1,1
66,Rosario Casellati,100.75273132324219,0,1,1
67,Paride Gotti,100.7365951538086,0,7,7
68,Beppe Bodoni,100.72061920166016,4,1,5
69,Pietro Parisi,100.65182495117188,0,1,1
70,Amleto Malpighi,100.65182495117188,0,1,1
71,Ermes Druso,100.63941955566406,0,2,2
72,Greco Rizzo,100.62545776367188,2,1,3
73,Pierluigi Pacomio,100.62144470214844,11,5,16
74,Damiano Brunelleschi,100.6177749633789,0,4,4
75,Virgilio Garozzo,100.60172271728516,4,2,6
76,Ubaldo Ramazzotti,100.5357437133789,2,5,7
77,Massimo Grimani,100.517822265625,5,0,5
78,Ennio Rizzoli,100.47752380371094,10,1,11
79,Ruggiero Buscetta,100.47576141357422,0,1,1
80,Dario Michelangeli,100.44718933105469,1,1,2
81,Fredo Travaglio,100.43528747558594,1,0,1
82,Pasqual Dovara,100.42284393310547,7,3,10
83,Pardi Marco,100.4101333618164,4,3,7
84,Fausto Moresi,100.40184783935547,1,0,1
85,Torquato Argento,100.37928771972656,0,1,1
86,Fulvio Zoppetti,100.37615966796875,5,6,11
87,Marcantonio Brenna,100.3692855834961,2,0,2
88,Ermanno Scarponi,100.36819458007812,2,2,4
89,Puccio Fanucci,100.31585693359375,8,3,11
90,Vincentio Gozzano,100.2951889038086,0,5,5
91,Benvenuto Armellini,100.24295043945312,1,1,2
92,Geronimo Gelli,100.21054077148438,1,8,9
93,Giulio Passalacqua,100.2099609375,2,2,4
94,Mirko Iannucci,100.18299865722656,0,1,1
95,Lorenzo Niscoromni,100.16350555419922,2,0,2
96,Ansaldo Zola,100.1274642944336,0,1,1
97,Lando Borrani,100.1274642944336,0,1,1
98,Rembrandt Papetti,100.04056549072266,0,1,1
99,Baldassare Nosiglia,100.0064697265625,5,5,10
100,Giovanni Lattuada,100.0056381225586,0,1,1
101,Piersanti Babati,100.00469207763672,2,4,6
102,Romolo Marangoni,100.0002670288086,3,1,4
103,Gianfrancesco Serao,100.0,1,0,1
104,Vincenzo Molesini,99.97566986083984,4,1,5
105,Gianpaolo Ruffini,99.96878051757812,0,1,1
106,Galasso Anguissola,99.92021179199219,0,1,1
107,Sergius Giacometti,99.89205169677734,2,0,2
108,Benito Canevascini,99.85155487060547,0,2,2
109,Salvi Dallara,99.84918212890625,0,1,1
110,Coluccio Turati,99.84286499023438,3,1,4
111,Milo Smirnoff,99.83932495117188,0,1,1
112,Guido Traetta,99.8351821899414,10,0,10
113,Costantino Cantimori,99.81920623779297,3,4,7
114,Emilio Anguillara,99.7693099975586,0,1,1
115,Arturo Cimini,99.7522201538086,2,0,2
116,Ruggero Galtarossa,99.75018310546875,0,2,2
117,Filippo Gagliardi,99.70960998535156,1,0,1
118,Saverio Toscani,99.70812225341797,2,2,4
119,Lamberto Pietrangeli,99.70602416992188,0,3,3
120,Sabatino Boaga,99.66301727294922,3,1,4
121,Armando Cassarà,99.64984893798828,0,1,1
122,Vito Roero,99.63863372802734,1,0,1
123,Biagio Franceschi,99.62979888916016,1,0,1
124,Tullio Gabbana,99.60297393798828,0,2,2
125,Orlando Franzese,99.57546997070312,2,2,4
126,Uberto Oliboni,99.57454681396484,2,0,2
127,Pierangelo Columbo,99.57357788085938,2,2,4
128,Raimondo Giannone,99.5680923461914,1,1,2
129,Alessandro Venturi,99.56139373779297,1,1,2
130,Luciano Gozzi,99.55728912353516,0,1,1
131,Nino Lombardo,99.5418472290039,1,0,1
132,Telemaco Pizzetti,99.51341247558594,0,4,4
133,Ferdinando Foscari,99.50645446777344,0,1,1
134,Costanzo Pedrazzini,99.50608825683594,3,2,5
135,Ugo Taliercio,99.48210144042969,2,0,2
136,Arnaldo Gabrieli,99.46531677246094,0,5,5
137,Oreste Paruta,99.46115112304688,0,3,3
138,Luca Pasqua,99.44306945800781,2,0,2
139,Guarino Ioppi,99.41695404052734,0,4,4
140,Pompeo Carocci,99.40824890136719,3,1,4
141,Mariano Ferragamo,99.39653778076172,1,0,1
142,Augusto Montalcini,99.36906433105469,0,2,2
143,Sante Lovato,99.36658477783203,6,2,8
144,Goffredo Bosio,99.31665802001953,1,9,10
145,Tonino Ammaniti,99.2859878540039,1,1,2
146,Alessio Nicolini,99.19660949707031,0,1,1
147,Bruno Ferretti,99.19405364990234,1,0,1
148,Micheletto Trillini,99.14476776123047,9,6,15
149,Coriolano Balotelli,99.14398193359375,1,0,1
150,Gilberto Bonatti,99.14398193359375,1,0,1
151,Agnolo Conti,99.10993194580078,1,0,1
152,Lucio Conte,99.094482421875,5,9,14
153,Rodolfo Marini,99.06069946289062,4,5,9
