rank,player,ability,n_singles,n_doubles,n_tot
1,Martini Francesco,106.6487045288086,3,3,6
2,Nardi Matteo,105.75904083251953,1,0,1
3,Citti Luca,105.629150390625,1,8,9
4,Giannecchini Daniele,104.92973327636719,9,1,10
5,Pierantoni Fabrizio,104.84976959228516,11,0,11
6,Pierallini Marco,104.69784545898438,1,1,2
7,Giusfredi Giuseppe,104.55062866210938,0,2,2
8,Agostini Federico,104.42898559570312,8,2,10
9,Biagiotti Luca,104.38339233398438,5,2,7
10,Biondi Luca,104.06961822509766,12,0,12
11,Montomoli Riccardo,104.02620697021484,1,2,3
12,Tuccori Matteo,103.86971282958984,1,3,4
13,Magenti Fabio,103.78776550292969,13,2,15
14,Mazzoncini Warren,103.77429962158203,0,6,6
15,Golia Luigi,103.75381469726562,1,15,16
16,Quintavalli Fabio,103.5085678100586,12,0,12
17,Giovacchini Raffaele,103.46942138671875,1,9,10
18,Cundardi Andrea,103.4669418334961,1,0,1
19,Grassi Maurizio,103.4107666015625,0,14,14
20,Battaglini Stefano,103.37279510498047,14,0,14
21,Baraldi Gabriele,103.36839294433594,3,5,8
22,Di Carlo Andrea,103.32868194580078,1,7,8
23,Davini Tommaso,103.27816772460938,2,0,2
24,Lazzareschi Mario,103.26960754394531,8,2,10
25,Girardi Matteo,103.2586669921875,5,1,6
26,Miglianti Stefano,103.2241439819336,5,6,11
27,Morotti Andrea,103.19259643554688,0,1,1
28,Menicucci Paolo,103.18638610839844,13,2,15
29,Pacioni Gabriele,103.15055084228516,0,5,5
30,Corticelli Christian,103.11723327636719,9,0,9
31,Godi Giovanni,103.06021881103516,5,1,6
32,Andrea Pini,102.96721649169922,0,12,12
33,Ricciardi Carmine,102.8246841430664,1,0,1
34,Isola Luigi,102.8033218383789,0,1,1
35,Giannecchini Nicola,102.72138214111328,7,3,10
36,Bertolaccini Juri,102.67097473144531,0,7,7
37,Pellegrini Carlo,102.62559509277344,0,9,9
38,Vannucci Gabriele,102.5822525024414,1,0,1
39,Romani Simone,102.56834411621094,3,2,5
40,Casini Fernando,102.50508880615234,0,12,12
41,Morganti Andrea,102.50306701660156,3,0,3
42,Lolli Paolo,102.427001953125,0,1,1
43,Mucci Elia,102.40776824951172,0,12,12
44,Nottoli Roberto,102.37271118164062,9,8,17
45,Andracchio Michele,102.23009490966797,10,2,12
46,Gianpaoli (slycers),102.08863830566406,1,0,1
47,Froli Luca,102.05962371826172,2,3,5
48,Maionchi Stefano,101.93043518066406,10,3,13
49,Torre Simone,101.87456512451172,0,11,11
50,Giuntini Cristiano,101.87417602539062,0,9,9
